,,,,,,,,,,
,Pais,ClaveTerritorio,ingresos,costos,CostoCampanas,BeneficioBruto,Margen_pct,ROI_pct,,INSIGHT C F I
,United States,1,"$3,353,939.92","$1,899,471.33","$1,920,000.00","$1,454,468.60",43.37%,75.75%,,Contexto:
,Australia,9,"$2,532,003.49","$1,474,958.18","$2,150,400.00","$1,057,045.31",41.75%,49.16%,,"Se analizaron ingresos, costos y gastos de campañas por pais para evaluar la rentabilidad mediante Margen y ROI."
,United Kingdom,10,"$1,189,636.78","$681,508.55","$2,304,000.00","$508,128.24",42.71%,22.05%,,
,Germany,8,"$1,071,460.42","$611,295.36","$2,265,600.00","$460,165.06",42.95%,20.31%,,Hallazgos
,France,7,"$924,316.93","$527,797.14","$2,208,000.00","$396,519.79",42.9%,17.96%,,"1) USA genera el mayor beneficio bruto y ROI mas alto, indicando campañas mas eficientes."
,Canada,6,"$710,205.18","$392,325.91","$1,824,000.00","$317,879.27",44.76%,17.43%,,
,,,,,,,,,,"2) Canada tiene el margen mas alto, llegando a decir que es mejor el control de costos respecto a ingresos."
,¿Cuál es la diferencia entre Margen y ROI?,,,,,,,,,
,1) Margen mide la rentabilidad del producto sin considerar campañas mientras que el ROI mide la ganancia respecto a lo invertido en campañas.,,,,,,,,,"3) UK, Alemania y Francia tienen ROI bajos debido a que el gasto de campaña es mas alto compara con los ingresos generados."
,¿Por qué el ROI en Estados Unidos es tan alto comparado con otros países?,,,,,,,,,
,1) Genera mas ingresos y beneficio haciendo con una inversion similar a otras la cual hace que la inversion sea mas eficiente,,,,,,,,,Implicación
,"Si aumentáramos el gasto de campañas en un 50%, ¿qué pasaría con el ROI?",,,,,,,,,"1) Seria mas conveniente invertir mas en mercados con ROI alto, ya que aprovechan mejor el gasto de campañas."
,1) El ROI bajaria si las ventas (ingresos) no llegaran a aumentar en la misma proporcion que el gasto,,,,,,,,,
,,,,,,,,,,"2) Paises con bajo ROI, se deberia optimizar o reducir gastos de campañas para mejorar la rentabilidad."
